name,price,type,efficiency,wattage,modular,color
Apevia Prestige,74.98,ATX,gold,1000,false,Black
be quiet! Pure Power 11,,ATX,gold,500,false,Black
Montech CENTURY G5,94,ATX,gold,750,Full,Black
GAMDIAS KRATOS E1,,ATX,plus,500,false,Black
Thermaltake Toughpower iRGB PLUS TT Premium Edition,,ATX,titanium,1650,Full,Black
Corsair RM550x (2018),216,ATX,gold,550,Full,Black / Silver
Corsair CX750 (2017),94.99,ATX,bronze,750,false,
Cooler Master MWE Bronze V2,,ATX,bronze,450,false,Black
Fractal Design Ion Gold,156.79,ATX,gold,750,Full,Black
EVGA GE,86.47,ATX,gold,700,false,Black
Corsair RM850x White,379.99,ATX,gold,850,Full,White / Black
Cooler Master MWE Gold V2 ATX3.0,179.99,ATX,gold,1250,Full,Black
SeaSonic B12 BC,,ATX,bronze,650,false,
Gigabyte UD850GM PG5 (rev. 2.0),112.68,ATX,gold,850,Full,Black
Aerocool Integrator,,ATX,bronze,500,false,Black
EVGA GE,79.98,ATX,gold,600,false,Black
Corsair CXM,149.94,ATX,bronze,750,Semi,
Cooler Master MWE White V2 230V,,ATX,plus,700,false,Black
Super Flower LEADEX VII XG,174.99,ATX,gold,1000,Full,Black
Thermaltake Toughpower,,ATX,gold,650,Semi,
Super Flower LEADEX VII XG,249.99,ATX,gold,1300,Full,Black
Cooler Master V SFX Platinum,,SFX,platinum,1300,Full,Black
Thermaltake Toughpower SFX,139.99,SFX,gold,750,Full,Black
